D,pattern,A,direct_M,direct_position,intersect_locate_M,intersect_position,contained_locate_M,contained_position,candidate_positions_in_intersect_cells,candidate_positions_in_contained_cells,intersect_cell_range,contained_cell_range,resonance_q1221,resonance_r1221,contained_q1221,contained_r1221,suffix_at_intersect
4,2234,2234,7340,7341,7340,7341,7340,7341,43,43,937007..937426,937008..937425,6,14,6,14,2234157623361064
4,2782,2782,2443,2444,2443,2444,2443,2444,53,53,1166855..1167274,1166856..1167273,2,1,2,1,2782398645659611
4,3057,3057,401,402,401,402,401,402,67,67,1282198..1282618,1282199..1282617,0,401,0,401,3057270365759591
4,3463,3463,11693,11694,11693,11694,11693,11694,51,51,1452487..1452906,1452488..1452905,9,704,9,704,3463938243222718
4,3584,3584,20181,20182,20181,20182,20181,20182,57,56,1503238..1503657,1503239..1503656,16,645,16,645,3584574915988097
4,3941,3941,1692,1693,1692,1693,1692,1693,51,50,1652975..1653394,1652976..1653393,1,471,1,471,3941433345477624
4,5000,5000,13388,13389,13388,13389,13388,13389,42,42,2097152..2097571,2097152..2097570,10,1178,10,1178,5000090715105823
4,5322,5322,5349,5350,5349,5350,5349,5350,51,51,2232208..2232628,2232209..2232627,4,465,4,465,5322077709212019
4,6704,6704,4886,4887,4886,4887,4886,4887,42,42,2811861..2812280,2811862..2812279,4,2,4,2,6704038674351362
4,6769,6769,4182,4183,4182,4183,4182,4183,55,55,2839124..2839543,2839125..2839542,3,519,3,519,6769751456614068
4,7048,7048,16462,16463,16462,16463,16462,16463,35,34,2956145..2956564,2956146..2956563,13,589,13,589,7048758164703245
4,7332,7332,4263,4264,4263,4264,4263,4264,63,63,3075263..3075683,3075264..3075682,3,600,3,600,7332699390814546
4,8120,8120,19928,19929,19928,19929,19928,19929,52,52,3405774..3406194,3405775..3406193,16,392,16,392,8120677173571202
4,9999,9999,761,762,761,762,761,762,58,58,4193884..4194303,4193885..4194303,0,761,0,761,9999998372978049
5,00000,0,17533,17534,17533,17534,17533,17534,3,3,0..41,0..40,14,439,14,439,00000106526248547
5,00001,1,17534,17535,17534,17535,17534,17535,3,3,41..83,42..82,14,440,14,440,00001065262485473
5,13277,13277,150038,150039,150038,150039,150038,150039,9,9,556877..556919,556878..556918,122,1076,122,1076,13277557371939647
