known_n,hidden_k,cert_base,L_offset,trials,success_rate,ambiguous_rate,mean_candidates,median_candidates,p95_candidates,mean_decimal_range_width
99,1,4,0,126,0.7063492063492064,0.29365079365079366,1.2936507936507937,1.0,2.0,1.3174603174603174
99,1,4,1,126,0.9206349206349206,0.07936507936507936,1.0793650793650793,1.0,2.0,1.0873015873015872
99,1,4,2,126,0.9603174603174603,0.03968253968253968,1.0396825396825398,1.0,1.0,1.0396825396825398
99,1,4,4,126,0.9920634920634921,0.007936507936507936,1.007936507936508,1.0,1.0,1.007936507936508
99,1,4,8,126,1.0,0.0,1.0,1.0,1.0,1.0
100,1,4,0,126,0.36507936507936506,0.6349206349206349,1.6349206349206349,2.0,2.0,1.6904761904761905
100,1,4,1,126,0.8253968253968254,0.1746031746031746,1.1746031746031746,1.0,2.0,1.1984126984126984
100,1,4,2,126,0.9444444444444444,0.05555555555555555,1.0555555555555556,1.0,1.75,1.0634920634920635
100,1,4,4,126,0.9920634920634921,0.007936507936507936,1.007936507936508,1.0,1.0,1.007936507936508
100,1,4,8,126,1.0,0.0,1.0,1.0,1.0,1.0
100,5,4,0,126,0.5396825396825397,0.4603174603174603,1.4603174603174602,1.0,2.0,1.4603174603174602
100,5,4,1,126,0.8492063492063492,0.15079365079365079,1.1507936507936507,1.0,2.0,1.1507936507936507
100,5,4,2,126,0.9444444444444444,0.05555555555555555,1.0555555555555556,1.0,1.75,1.0555555555555556
100,5,4,4,126,0.9920634920634921,0.007936507936507936,1.007936507936508,1.0,1.0,1.007936507936508
100,5,4,8,126,1.0,0.0,1.0,1.0,1.0,1.0
100,10,2,0,126,0.23809523809523808,0.7619047619047619,1.7619047619047619,2.0,2.0,1.7619047619047619
100,10,2,1,126,0.6428571428571429,0.35714285714285715,1.3571428571428572,1.0,2.0,1.3571428571428572
100,10,2,2,126,0.7857142857142857,0.21428571428571427,1.2142857142857142,1.0,2.0,1.2142857142857142
100,10,2,4,126,0.9126984126984127,0.0873015873015873,1.0873015873015872,1.0,2.0,1.0873015873015872
100,10,2,8,126,1.0,0.0,1.0,1.0,1.0,1.0
100,10,4,0,126,0.23809523809523808,0.7619047619047619,1.7619047619047619,2.0,2.0,1.7619047619047619
100,10,4,1,126,0.7857142857142857,0.21428571428571427,1.2142857142857142,1.0,2.0,1.2142857142857142
100,10,4,2,126,0.9126984126984127,0.0873015873015873,1.0873015873015872,1.0,2.0,1.0873015873015872
100,10,4,4,126,1.0,0.0,1.0,1.0,1.0,1.0
100,10,4,8,126,1.0,0.0,1.0,1.0,1.0,1.0
100,10,16,0,126,0.7857142857142857,0.21428571428571427,1.2142857142857142,1.0,2.0,1.2142857142857142
100,10,16,1,126,0.9841269841269841,0.015873015873015872,1.0158730158730158,1.0,1.0,1.0158730158730158
100,10,16,2,126,1.0,0.0,1.0,1.0,1.0,1.0
100,10,16,4,126,1.0,0.0,1.0,1.0,1.0,1.0
100,10,16,8,126,1.0,0.0,1.0,1.0,1.0,1.0
100,100,4,0,126,0.6984126984126984,0.30158730158730157,1.3015873015873016,1.0,2.0,1.3015873015873016
100,100,4,1,126,0.9126984126984127,0.0873015873015873,1.0873015873015872,1.0,2.0,1.0873015873015872
100,100,4,2,126,0.9682539682539683,0.031746031746031744,1.0317460317460319,1.0,1.0,1.0317460317460319
100,100,4,4,126,1.0,0.0,1.0,1.0,1.0,1.0
100,100,4,8,126,1.0,0.0,1.0,1.0,1.0,1.0
