H_boundary,start_M,known_n,hidden_k,cert_base,L_min,L_offset,L_cert,decimal_digits_used_for_cert,prefix_preview,true_hidden,true_full_preview,q_cell_C_digits,decimal_range_width,prefix_condition_range_width,candidate_count_after_prefix,recovered_hidden,success,ambiguous,Amin_minus_prefix_low,Amax_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low
553096,552997,99,1,4,167,0,167,161,053463660636396370508400603225,9,15732568115366055049...63963705084006032259,100,1,10,1,9,True,False,9,9,9,9
557826,557727,99,1,4,167,0,167,161,088239346961329546058235596168,8,23264693476067359179...13295460582355961688,100,1,10,1,8,True,False,8,8,8,8
558499,558400,99,1,4,167,0,167,161,687382883091817168865047464734,2,58113338304783246584...18171688650474647342,101,2,10,2,,False,True,1,2,1,2
559377,559278,99,1,4,167,0,167,161,319090947564277462823464504961,8,47258601930480188788...42774628234645049618,101,1,10,1,8,True,False,8,8,8,8
575596,575497,99,1,4,167,0,167,161,164285764558538815095998654259,9,60583506521637181437...85388150959986542599,101,1,10,1,9,True,False,9,9,9,9
581971,581872,99,1,4,167,0,167,161,691796392094089540494967577669,1,18644027032070094133...40895404949675776691,100,1,10,1,1,True,False,1,1,1,1
593623,593524,99,1,4,167,0,167,161,655682803999261459692054638058,7,53888572605849243307...92614596920546380587,101,1,10,1,7,True,False,7,7,7,7
602561,602462,99,1,4,167,0,167,161,358307724451600378609737374314,7,73859006548375807152...16003786097373743147,101,1,10,1,7,True,False,7,7,7,7
612340,612241,99,1,4,167,0,167,161,651431942095955160726127413535,9,27489417603760297520...59551607261274135359,100,1,10,1,9,True,False,9,9,9,9
663869,663770,99,1,4,167,0,167,161,342319019174724659837227207421,0,10719482289989607372...47246598372272074210,100,2,10,2,,False,True,0,1,0,1
685174,685075,99,1,4,167,0,167,161,821898843327591528070953988212,6,42442839171596146581...75915280709539882126,101,2,10,2,,False,True,6,7,6,7
692847,692748,99,1,4,167,0,167,161,511564310976617009500805367466,2,67266178454961087379...66170095008053674662,101,2,10,2,,False,True,2,3,2,3
693985,693886,99,1,4,167,0,167,161,319317228940480334599855226410,8,23052213171260507160...04803345998552264108,100,1,10,1,8,True,False,8,8,8,8
717287,717188,99,1,4,167,0,167,161,185104828834584759112985991132,6,88239240656377438980...45847591129859911326,101,1,10,1,6,True,False,6,6,6,6
773499,773400,99,1,4,167,0,167,161,283554972399990954386747911904,1,68858174582721066360...99909543867479119041,101,1,10,1,1,True,False,1,1,1,1
789330,789231,99,1,4,167,0,167,161,481349699003368236635925882060,1,63261932678725773121...33682366359258820601,101,1,10,1,1,True,False,1,1,1,1
800930,800831,99,1,4,167,0,167,161,815754559688069426018001303557,8,56166160815429521787...80694260180013035578,101,1,10,1,8,True,False,8,8,8,8
812721,812622,99,1,4,167,0,167,161,555547099528058650927489148560,6,38089158911415106268...80586509274891485606,101,1,10,1,6,True,False,6,6,6,6
818959,818860,99,1,4,167,0,167,161,384377391003701560450854244171,8,20034050684331619519...37015604508542441718,100,1,10,1,8,True,False,8,8,8,8
827885,827786,99,1,4,167,0,167,161,720299367123678763451986595708,0,86486295967723599386...36787634519865957080,101,2,10,1,0,True,False,-1,0,0,0
843333,843234,99,1,4,167,0,167,161,240434415604684960365223220703,9,86782238295155301447...46849603652232207039,101,2,10,2,,False,True,8,9,8,9
857856,857757,99,1,4,167,0,167,161,699910797483860730938322241856,5,04904988917124685739...38607309383222418565,100,1,10,1,5,True,False,5,5,5,5
880118,880019,99,1,4,167,0,167,161,583284264334984211990679033276,9,38758447100756455874...49842119906790332769,101,1,10,1,9,True,False,9,9,9,9
880603,880504,99,1,4,167,0,167,161,045942224722408579545248996614,9,04210228706958031691...24085795452489966149,100,2,10,1,9,True,False,9,10,9,9
892202,892103,99,1,4,167,0,167,161,957739544589473799649939650197,3,33187907256169308154...94737996499396501973,101,1,10,1,3,True,False,3,3,3,3
892348,892249,99,1,4,167,0,167,161,175145832906568124019088806520,5,60589434397057243968...65681240190888065205,101,2,10,2,,False,True,5,6,5,6
904484,904385,99,1,4,167,0,167,161,003230917231449065960183944335,7,15612178664717813433...14490659601839443357,100,1,10,1,7,True,False,7,7,7,7
959903,959804,99,1,4,167,0,167,161,965669379924358729329116688498,3,22929408030684220362...43587293291166884983,100,2,10,2,,False,True,3,4,3,4
967701,967602,99,1,4,167,0,167,161,393544273709938641506048173133,8,31498313539476010997...99386415060481731338,101,1,10,1,8,True,False,8,8,8,8
1000000,999901,99,1,4,167,0,167,161,996346460422090106105779458151,3,31561403332127284919...20901061057794581513,101,1,10,1,3,True,False,3,3,3,3
1040638,1040539,99,1,4,167,0,167,161,602919153834489079644615711200,1,47866810316302538442...44890796446157112001,101,1,10,1,1,True,False,1,1,1,1
1050753,1050654,99,1,4,167,0,167,161,765297983874266253555728527755,4,00272687389888500939...42662535557285277554,98,1,10,1,4,True,False,4,4,4,4
1054449,1054350,99,1,4,167,0,167,161,816211423182073703190901617186,1,01912053305603207887...20737031909016171861,99,1,10,1,1,True,False,1,1,1,1
1066238,1066139,99,1,4,167,0,167,161,870975745856207795103855683781,0,81845106733998676146...62077951038556837810,101,1,10,1,0,True,False,0,0,0,0
1073025,1072926,99,1,4,167,0,167,161,126061364416969195564379212364,1,75870724998140946663...69691955643792123641,101,1,10,1,1,True,False,1,1,1,1
1087990,1087891,99,1,4,167,0,167,161,447601478042451589123253078872,9,43972643878161938881...24515891232530788729,101,1,10,1,9,True,False,9,9,9,9
1115629,1115530,99,1,4,167,0,167,161,468886247167287846197413253229,7,14544226208594974572...72878461974132532297,100,1,10,1,7,True,False,7,7,7,7
1126103,1126004,99,1,4,167,0,167,161,125098254104681960641879262193,8,13781705181604746979...46819606418792621938,100,2,10,2,,False,True,7,8,7,8
1147756,1147657,99,1,4,167,0,167,161,370388247159817963693475756171,6,17566988182569202240...98179636934757561716,100,1,10,1,6,True,False,6,6,6,6
1157754,1157655,99,1,4,167,0,167,161,386509777391167153832201552178,5,25698729666544857094...11671538322015521785,100,1,10,1,5,True,False,5,5,5,5
1163818,1163719,99,1,4,167,0,167,161,713009060289707249828453512200,9,96327719274788407295...97072498284535122009,101,1,10,1,9,True,False,9,9,9,9
1209529,1209430,99,1,4,167,0,167,161,820808065164308513057539071480,8,95590238595988882718...43085130575390714808,101,1,10,1,8,True,False,8,8,8,8
1304006,1303907,99,1,4,167,0,167,161,937726997501146562752347147257,5,67308273823930935492...11465627523471472575,101,2,10,2,,False,True,4,5,4,5
1341736,1341637,99,1,4,167,0,167,161,517012397095488923922618979244,6,76621065537227769635...54889239226189792446,101,1,10,1,6,True,False,6,6,6,6
1348788,1348689,99,1,4,167,0,167,161,161193241010581644940662368625,6,28229506431053668163...05816449406623686256,100,2,10,2,,False,True,5,6,5,6
1356556,1356457,99,1,4,167,0,167,161,827045346159517070858114277830,7,74496423755670218339...95170708581142778307,101,1,10,1,7,True,False,7,7,7,7
1396940,1396841,99,1,4,167,0,167,161,066490778751753866228503839850,1,95654762127380626121...17538662285038398501,101,1,10,1,1,True,False,1,1,1,1
1412239,1412140,99,1,4,167,0,167,161,117189027244940647588352476752,0,58220847050211169717...49406475883524767520,101,1,10,1,0,True,False,0,0,0,0
1430894,1430795,99,1,4,167,0,167,161,171626714866090941406006857538,6,71768010400115152298...60909414060068575386,101,2,10,2,,False,True,6,7,6,7
1445909,1445810,99,1,4,167,0,167,161,844792035659926636374099719436,3,63365840834937303492...99266363740997194363,101,1,10,1,3,True,False,3,3,3,3
1446751,1446652,99,1,4,167,0,167,161,578125630560368595337897722005,9,52189355398542434603...03685953378977220059,101,1,10,1,9,True,False,9,9,9,9
1468610,1468511,99,1,4,167,0,167,161,438973711724940863265184149584,7,21061083034932137473...49408632651841495847,100,1,10,1,7,True,False,7,7,7,7
1468705,1468606,99,1,4,167,0,167,161,896523168579460538213641579407,7,95847226085758092763...94605382136415794077,101,2,10,2,,False,True,7,8,7,8
1477909,1477810,99,1,4,167,0,167,161,725694330277252806146898876906,0,25618521924718512748...72528061468988769060,100,2,10,2,,False,True,0,1,0,1
1488257,1488158,99,1,4,167,0,167,161,707541587478873646401654505082,0,32008595762158691428...88736464016545050820,101,2,10,2,,False,True,0,1,0,1
1500000,1499901,99,1,4,167,0,167,161,794715117319607737991914462295,2,29754421710582590927...96077379919144622952,101,1,10,1,2,True,False,2,2,2,2
1551839,1551740,99,1,4,167,0,167,161,265697941996373019859275553374,7,50796589022949963867...63730198592755533747,101,1,10,1,7,True,False,7,7,7,7
1596235,1596136,99,1,4,167,0,167,161,372647468444051827821891124710,4,80872054858739032093...40518278218911247104,101,1,10,1,4,True,False,4,4,4,4
1598832,1598733,99,1,4,167,0,167,161,906187498720783156532379928631,5,94283499025133705660...07831565323799286315,101,1,10,1,5,True,False,5,5,5,5
1606966,1606867,99,1,4,167,0,167,161,331408545464600965124140149923,8,06590495393990298154...46009651241401499238,100,2,10,2,,False,True,8,9,8,9
