H_boundary,start_M,known_n,hidden_k,cert_base,L_min,L_offset,L_cert,decimal_digits_used_for_cert,prefix_preview,true_hidden,true_full_preview,q_cell_C_digits,decimal_range_width,prefix_condition_range_width,candidate_count_after_prefix,recovered_hidden,success,ambiguous,Amin_minus_prefix_low,Amax_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low
1500000,1499900,100,5,4,175,0,175,166,794715117319607737991914462295,24435,12975442171058259092...73799191446229524435,105,2,100000,2,,False,True,24434,24435,24434,24435
10000,9900,100,5,4,175,2,177,167,959688159205600101655256375678,56672,26456001623742880210...10165525637567856672,106,1,100000,1,56672,True,False,56672,56672,56672,56672
50000,49900,100,5,4,175,2,177,167,112718106910522900246574236041,30093,15840522953693749971...90024657423604130093,106,1,100000,1,30093,True,False,30093,30093,30093,30093
100000,99900,100,5,4,175,2,177,167,712790913767420805655493624646,41260,85750163634113146275...80565549362464641260,107,1,100000,1,41260,True,False,41260,41260,41260,41260
500000,499900,100,5,4,175,2,177,167,193325290740424876025138195242,69739,53416523703165307043...87602513819524269739,107,1,100000,1,69739,True,False,69739,69739,69739,69739
1000000,999900,100,5,4,175,2,177,167,996346460422090106105779458151,30927,03156140333212728491...10610577945815130927,106,1,100000,1,30927,True,False,30927,30927,30927,30927
1500000,1499900,100,5,4,175,2,177,167,794715117319607737991914462295,24435,12975442171058259092...73799191446229524435,106,1,100000,1,24435,True,False,24435,24435,24435,24435
10000,9900,100,5,4,175,8,183,171,959688159205600101655256375678,56672,26456001623742880210...10165525637567856672,110,1,100000,1,56672,True,False,56672,56672,56672,56672
50000,49900,100,5,4,175,8,183,171,112718106910522900246574236041,30093,15840522953693749971...90024657423604130093,110,1,100000,1,30093,True,False,30093,30093,30093,30093
100000,99900,100,5,4,175,8,183,171,712790913767420805655493624646,41260,85750163634113146275...80565549362464641260,111,1,100000,1,41260,True,False,41260,41260,41260,41260
500000,499900,100,5,4,175,8,183,171,193325290740424876025138195242,69739,53416523703165307043...87602513819524269739,110,1,100000,1,69739,True,False,69739,69739,69739,69739
1000000,999900,100,5,4,175,8,183,171,996346460422090106105779458151,30927,03156140333212728491...10610577945815130927,109,1,100000,1,30927,True,False,30927,30927,30927,30927
1500000,1499900,100,5,4,175,8,183,171,794715117319607737991914462295,24435,12975442171058259092...73799191446229524435,110,1,100000,1,24435,True,False,24435,24435,24435,24435
10000,9900,100,10,4,183,0,183,171,959688159205600101655256375678,5667227966,26456001623742880210...52563756785667227966,110,2,10000000000,2,,False,True,5667227965,5667227966,5667227965,5667227966
50000,49900,100,10,4,183,0,183,171,112718106910522900246574236041,3009369188,15840522953693749971...65742360413009369188,110,2,10000000000,2,,False,True,3009369188,3009369189,3009369188,3009369189
100000,99900,100,10,4,183,0,183,171,712790913767420805655493624646,4126002437,85750163634113146275...54936246464126002437,111,2,10000000000,2,,False,True,4126002437,4126002438,4126002437,4126002438
500000,499900,100,10,4,183,0,183,171,193325290740424876025138195242,6973910175,53416523703165307043...51381952426973910175,110,2,10000000000,2,,False,True,6973910175,6973910176,6973910175,6973910176
1000000,999900,100,10,4,183,0,183,171,996346460422090106105779458151,3092756283,03156140333212728491...57794581513092756283,109,2,10000000000,2,,False,True,3092756282,3092756283,3092756282,3092756283
1500000,1499900,100,10,4,183,0,183,171,794715117319607737991914462295,2443520595,12975442171058259092...19144622952443520595,110,2,10000000000,2,,False,True,2443520594,2443520595,2443520594,2443520595
10000,9900,100,10,4,183,2,185,172,959688159205600101655256375678,5667227966,26456001623742880210...52563756785667227966,111,1,10000000000,1,5667227966,True,False,5667227966,5667227966,5667227966,5667227966
50000,49900,100,10,4,183,2,185,172,112718106910522900246574236041,3009369188,15840522953693749971...65742360413009369188,111,1,10000000000,1,3009369188,True,False,3009369188,3009369188,3009369188,3009369188
100000,99900,100,10,4,183,2,185,172,712790913767420805655493624646,4126002437,85750163634113146275...54936246464126002437,112,1,10000000000,1,4126002437,True,False,4126002437,4126002437,4126002437,4126002437
500000,499900,100,10,4,183,2,185,172,193325290740424876025138195242,6973910175,53416523703165307043...51381952426973910175,112,1,10000000000,1,6973910175,True,False,6973910175,6973910175,6973910175,6973910175
1000000,999900,100,10,4,183,2,185,172,996346460422090106105779458151,3092756283,03156140333212728491...57794581513092756283,110,1,10000000000,1,3092756283,True,False,3092756283,3092756283,3092756283,3092756283
1500000,1499900,100,10,4,183,2,185,172,794715117319607737991914462295,2443520595,12975442171058259092...19144622952443520595,111,2,10000000000,2,,False,True,2443520594,2443520595,2443520594,2443520595
10000,9900,100,10,4,183,8,191,175,959688159205600101655256375678,5667227966,26456001623742880210...52563756785667227966,115,1,10000000000,1,5667227966,True,False,5667227966,5667227966,5667227966,5667227966
50000,49900,100,10,4,183,8,191,175,112718106910522900246574236041,3009369188,15840522953693749971...65742360413009369188,115,1,10000000000,1,3009369188,True,False,3009369188,3009369188,3009369188,3009369188
100000,99900,100,10,4,183,8,191,175,712790913767420805655493624646,4126002437,85750163634113146275...54936246464126002437,115,1,10000000000,1,4126002437,True,False,4126002437,4126002437,4126002437,4126002437
500000,499900,100,10,4,183,8,191,175,193325290740424876025138195242,6973910175,53416523703165307043...51381952426973910175,115,1,10000000000,1,6973910175,True,False,6973910175,6973910175,6973910175,6973910175
1000000,999900,100,10,4,183,8,191,175,996346460422090106105779458151,3092756283,03156140333212728491...57794581513092756283,114,1,10000000000,1,3092756283,True,False,3092756283,3092756283,3092756283,3092756283
1500000,1499900,100,10,4,183,8,191,175,794715117319607737991914462295,2443520595,12975442171058259092...19144622952443520595,115,1,10000000000,1,2443520595,True,False,2443520595,2443520595,2443520595,2443520595
10000,9900,100,100,4,333,0,333,261,959688159205600101655256375678,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225,26456001623742880210...27709842942325330225,200,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225,True,False,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225,5667227966198857827948488558343975187445455129656344348039664205579829368043522027709842942325330225
50000,49900,100,100,4,333,0,333,261,112718106910522900246574236041,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169,15840522953693749971...64344860620123982169,200,1,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169,True,False,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169,3009369188925586578466846121567955425660541600507127664176605687427420032957716064344860620123982169
