H_boundary,start_M,known_n,hidden_k,Q_cert,offset,D_total_decimal_depth,L_min,L_cert,decimal_digits_used_for_cert,known_prefix_tail_preview,true_hidden,recovered_hidden,success,ambiguous,candidate_count,surviving_digits_if_k1,A_min_minus_prefix_low,A_max_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low,q_cell_decimal_digits
10000,9950,50,1,4,2,51,85,87,143,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,53
10000,9950,50,1,4,4,51,85,89,144,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,54
10000,9950,50,1,16,0,51,43,43,142,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,52
10000,9950,50,1,16,1,51,43,44,143,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,53
10000,9950,50,1,16,2,51,43,45,145,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,54
10000,9950,50,1,16,4,51,43,47,147,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,57
50000,49950,50,1,4,0,51,85,85,142,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,50
50000,49950,50,1,4,1,51,85,86,142,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,51
50000,49950,50,1,4,2,51,85,87,143,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,52
50000,49950,50,1,4,4,51,85,89,144,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,53
50000,49950,50,1,16,0,51,43,43,142,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,51
50000,49950,50,1,16,1,51,43,44,143,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,52
50000,49950,50,1,16,2,51,43,45,145,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,54
50000,49950,50,1,16,4,51,43,47,147,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,56
100000,99950,50,1,4,0,51,85,85,142,712790913767420805655493624646,4,,False,True,2,34,3,4,3,4,52
100000,99950,50,1,4,1,51,85,86,142,712790913767420805655493624646,4,,False,True,2,34,3,4,3,4,52
100000,99950,50,1,4,2,51,85,87,143,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,53
100000,99950,50,1,4,4,51,85,89,144,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,54
100000,99950,50,1,16,0,51,43,43,142,712790913767420805655493624646,4,,False,True,2,34,3,4,3,4,52
100000,99950,50,1,16,1,51,43,44,143,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,53
100000,99950,50,1,16,2,51,43,45,145,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,55
100000,99950,50,1,16,4,51,43,47,147,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,57
500000,499950,50,1,4,0,51,85,85,142,193325290740424876025138195242,6,,False,True,2,67,6,7,6,7,51
500000,499950,50,1,4,1,51,85,86,142,193325290740424876025138195242,6,,False,True,2,67,6,7,6,7,52
500000,499950,50,1,4,2,51,85,87,143,193325290740424876025138195242,6,,False,True,2,67,6,7,6,7,53
500000,499950,50,1,4,4,51,85,89,144,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,54
500000,499950,50,1,16,0,51,43,43,142,193325290740424876025138195242,6,,False,True,2,67,6,7,6,7,52
500000,499950,50,1,16,1,51,43,44,143,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,53
500000,499950,50,1,16,2,51,43,45,145,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,54
500000,499950,50,1,16,4,51,43,47,147,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,57
1000000,999950,50,1,4,0,51,85,85,142,996346460422090106105779458151,3,,False,True,2,23,2,3,2,3,51
1000000,999950,50,1,4,1,51,85,86,142,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,52
1000000,999950,50,1,4,2,51,85,87,143,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,53
1000000,999950,50,1,4,4,51,85,89,144,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,54
1000000,999950,50,1,16,0,51,43,43,142,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,52
1000000,999950,50,1,16,1,51,43,44,143,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,53
1000000,999950,50,1,16,2,51,43,45,145,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,54
1000000,999950,50,1,16,4,51,43,47,147,996346460422090106105779458151,3,3,True,False,1,3,3,3,3,3,57
1500000,1499950,50,1,4,0,51,85,85,142,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,52
