L_base4,K,K_kind,top_fraction,top_residue_count,coverage,recall_mean,recall_sd,lift_mean,lift_sd,residue_entropy_norm,max_bin_share,dataset
8,109,resonance,0.01,1,0.0091743119266055,0.0089141845703125,0.000428432452355,0.9716461181640624,0.0466991373067007,0.9998970787564552,0.010009765625,pi_base4
8,109,resonance,0.02,2,0.018348623853211,0.01785888671875,0.0007002393353117,0.973309326171875,0.038163043774492,0.9998970787564552,0.010009765625,pi_base4
8,109,resonance,0.05,5,0.0458715596330275,0.0447224934895833,0.000832361310067,0.9749503580729166,0.0181454765594612,0.9998970787564552,0.010009765625,pi_base4
8,109,resonance,0.1,11,0.1009174311926605,0.0991261800130208,0.0013212639009846,0.9822503292199336,0.013092524109757,0.9998970787564552,0.010009765625,pi_base4
8,109,resonance,0.2,22,0.2018348623853211,0.1993764241536458,0.0015146290067137,0.9878195560339724,0.0075042982605364,0.9998970787564552,0.010009765625,pi_base4
8,635,resonance,0.01,6,0.0094488188976377,0.0086029052734375,0.0005311198495869,0.910474141438802,0.0562101840812873,0.9996085270860064,0.0019989013671875,pi_base4
8,635,resonance,0.02,13,0.0204724409448818,0.01873779296875,0.0006522009382948,0.9152691180889424,0.0318575073705571,0.9996085270860064,0.0019989013671875,pi_base4
8,635,resonance,0.05,32,0.0503937007874015,0.046295166015625,0.0006376153604685,0.9186697006225586,0.0126526798092983,0.9996085270860064,0.0019989013671875,pi_base4
8,635,resonance,0.1,64,0.1007874015748031,0.0936869303385416,0.0010868409848083,0.929550011952718,0.0107835003961453,0.9996085270860064,0.0019989013671875,pi_base4
8,635,resonance,0.2,127,0.2,0.1880147298177083,0.0017139495897423,0.9400736490885416,0.0085697479487118,0.9996085270860064,0.0019989013671875,pi_base4
8,3284,resonance,0.01,33,0.0100487210718635,0.0078867594401041,0.0003902340628149,0.7848520606455175,0.0388342018874074,0.9983644120536868,0.00048828125,pi_base4
8,3284,resonance,0.02,66,0.0200974421437271,0.0159596761067708,0.0005132934068891,0.7941147929490213,0.0255402355791504,0.9983644120536868,0.00048828125,pi_base4
8,3284,resonance,0.05,164,0.0499390986601705,0.0411295572916666,0.000971971954574,0.8235943057672763,0.0194631457245193,0.9983644120536868,0.00048828125,pi_base4
8,3284,resonance,0.1,328,0.099878197320341,0.0845469156901041,0.001148198839649,0.8465002168484822,0.0114959908213638,0.9983644120536868,0.00048828125,pi_base4
8,3284,resonance,0.2,657,0.2000609013398294,0.1763417561848958,0.0014609918459588,0.8814403764249585,0.0073027354979132,0.9983644120536868,0.00048828125,pi_base4
8,15785,resonance,0.01,158,0.0100095026924295,0.0052439371744791,0.0004248476067659,0.523895875311099,0.0424444270430445,0.9933572980887468,0.000152587890625,pi_base4
8,15785,resonance,0.02,316,0.020019005384859,0.0114481608072916,0.0004966485166433,0.5718646150098068,0.0248088507443525,0.9933572980887468,0.000152587890625,pi_base4
8,15785,resonance,0.05,789,0.0499841621792841,0.0309916178385416,0.0008027818288851,0.6200287548559953,0.016060723915021,0.9933572980887468,0.000152587890625,pi_base4
8,15785,resonance,0.1,1578,0.0999683243585682,0.0670450846354166,0.0008407923543261,0.6706632832509837,0.0084105876508483,0.9933572980887468,0.000152587890625,pi_base4
