L_base4,sample_size,mean_margin_norm,median_margin_norm,p10_margin_norm,p01_margin_norm,fraction_margin_lt_0_01,fraction_margin_lt_0_001
8,65536,0.49965562112629414,0.4990997314453125,0.0992431640625,0.0096435546875,0.01025390625,0.0011444091796875
9,100000,0.5007646051025391,0.5023651123046875,0.099609375,0.01007080078125,0.0099,0.00098
10,100000,0.5002960586547851,0.5011749267578125,0.10082702636718754,0.009613037109375,0.01029,0.00101
