D,cutoff_T,train_hits,true_next_M,true_wait
4,987341,96,1001061,13720
4,1001061,96,1001061,0
4,1012657,97,1032685,20028
4,1037974,98,1080483,42509
4,1063290,98,1080483,17193
4,1080483,98,1080483,0
4,1088607,99,1110979,22372
4,1113923,100,1122323,8400
4,1122323,100,1122323,0
4,1139239,102,1165929,26690
4,1164556,102,1165929,1373
4,1165929,102,1165929,0
4,1179668,104,1179668,0
4,1189872,106,1215871,25999
4,1215189,106,1215871,682
4,1215871,106,1215871,0
4,1240505,108,1257902,17397
4,1257902,108,1257902,0
4,1265822,109,1286884,21062
4,1288733,110,1288733,0
4,1291138,112,1300850,9712
4,1300850,112,1300850,0
4,1316455,113,1334788,18333
4,1341771,114,1345241,3470
4,1345241,114,1345241,0
4,1367087,116,1388148,21061
4,1388148,116,1388148,0
4,1392404,117,1392791,387
4,1417720,118,1429835,12115
4,1429835,118,1429835,0
4,1443037,120,1451178,8141
4,1451178,120,1451178,0
4,1460330,122,1460330,0
4,1468353,124,1468647,294
4,1468647,124,1468647,0
4,1484490,126,1484490,0
4,1493670,128,1515634,21964
4,1515634,128,1515634,0
4,1518986,129,1530291,11305
4,1542790,130,1542790,0
4,1544303,131,1558844,14541
4,1558845,132,1558845,0
4,1569619,133,1571371,1752
4,1575714,134,1575714,0
4,1581027,136,1581027,0
4,1594935,138,1617389,22454
4,1617389,138,1617389,0
4,1620252,139,1626489,6237
4,1632946,140,1632946,0
4,1645568,141,1675524,29956
4,1670885,141,1675524,4639
4,1696201,142,1699926,3725
4,1699926,142,1699926,0
4,1699928,144,1699928,0
4,1703709,146,1703709,0
4,1721518,147,1739398,17880
4,1744414,148,1744414,0
4,1746834,149,1775669,28835
4,1772151,149,1775669,3518
4,1783090,150,1783090,0
4,1797467,152,1803994,6527
4,1803994,152,1803994,0
4,1822783,154,1834600,11817
4,1834600,154,1834600,0
4,1836766,156,1836766,0
4,1848100,158,1881914,33814
4,1873416,158,1881914,8498
4,1881914,158,1881914,0
4,1898733,160,1900628,1895
4,1900628,160,1900628,0
4,1909004,162,1909004,0
4,1924049,164,1938145,14096
4,1938145,164,1938145,0
4,1944564,166,1944564,0
4,1949366,168,1950616,1250
4,1950616,168,1950616,0
4,1961856,170,1961856,0
4,1974682,172,1999374,24692
4,1999374,172,1999374,0
5,759493,5,967624,208131
5,784809,5,967624,182815
5,810126,5,967624,157498
5,835442,5,967624,132182
5,860759,5,967624,106865
5,886075,5,967624,81549
5,911391,5,967624,56233
5,936708,5,967624,30916
5,962024,5,967624,5600
5,967624,5,967624,0
5,987341,6,1558844,571503
5,1012657,6,1558844,546187
5,1037974,6,1558844,520870
5,1063290,6,1558844,495554
5,1088607,6,1558844,470237
5,1113923,6,1558844,444921
5,1139239,6,1558844,419605
5,1164556,6,1558844,394288
5,1189872,6,1558844,368972
5,1215189,6,1558844,343655
5,1240505,6,1558844,318339
5,1265822,6,1558844,293022
5,1291138,6,1558844,267706
5,1316455,6,1558844,242389
5,1341771,6,1558844,217073
5,1367087,6,1558844,191757
5,1392404,6,1558844,166440
5,1417720,6,1558844,141124
5,1443037,6,1558844,115807
5,1468353,6,1558844,90491
5,1493670,6,1558844,65174
5,1518986,6,1558844,39858
5,1544303,6,1558844,14541
5,1558844,6,1558844,0
5,1569619,7,1699926,130307
5,1594935,7,1699926,104991
5,1620252,7,1699926,79674
5,1645568,7,1699926,54358
5,1670885,7,1699926,29041
5,1696201,7,1699926,3725
5,1699926,7,1699926,0
5,1699927,8,1699927,0
5,1721518,9,1783090,61572
5,1746834,9,1783090,36256
5,1772151,9,1783090,10939
5,1783090,9,1783090,0
5,1797467,10,1834600,37133
5,1822783,10,1834600,11817
5,1834600,10,1834600,0
5,1848100,11,1909003,60903
5,1873416,11,1909003,35587
5,1898733,11,1909003,10270
5,1909003,11,1909003,0
5,1924049,12,1938145,14096
5,1938145,12,1938145,0
5,1949366,13,1961855,12489
5,1961855,13,1961855,0
