D,confidence_nominal,tests,hit_rate,mean_window_width,mean_compression
3,0.5,157,0.7133757961783439,688.0636942675159,0.0017688894688814003
3,0.8,157,0.8980891719745223,1746.6942675159235,0.004387106904810712
3,0.95,157,0.9808917197452229,3228.9617834394903,0.008249335254553566
4,0.5,160,0.7,7469.09375,0.10256958119517438
4,0.8,160,0.8625,19002.925,0.25794931003937516
4,0.95,160,0.975,28607.875,0.42226658991753707
5,0.5,47,0.6808510638297872,175060.06382978722,0.597833113643398
5,0.8,47,0.723404255319149,295241.3617021277,1.1744087219374018
5,0.95,47,0.8297872340425532,461671.12765957444,2.15312956228988
