targets_used,coverage,mean_recall,mean_lift,median_lift,weighted_recall,weighted_lift,mean_target_hits,dataset,K,L_base4,top_fraction
128,0.01,0.2557537045402754,25.575370454027535,25.57599540340199,0.2557686005898479,25.57686005898479,977.4765625,pi,1,4,0.01
128,0.05,1.0,20.0,20.0,1.0,20.0,975.6171875,pi,1,4,0.05
128,0.1,1.0,10.0,10.0,1.0,10.0,978.546875,pi,1,4,0.1
128,0.01,0.02495525029404943,2.495525029404943,2.510471238560418,0.02495918824621491,2.4959188246214907,976.28125,pi,2,4,0.01
128,0.05,0.1288073818332401,2.576147636664801,2.5966743043102873,0.12880322925475055,2.576064585095011,979.328125,pi,2,4,0.05
128,0.1,0.2571279257544111,2.571279257544111,2.5639667802496495,0.25710231827363966,2.5710231827363965,974.59375,pi,2,4,0.1
128,0.01,0.010204659219825215,1.0204659219825214,1.0293428946202927,0.01019560214778829,1.019560214778829,977.75,pi,5,4,0.01
128,0.05,0.05036722390236929,1.0073444780473857,1.0169567638447305,0.05036390334216491,1.0072780668432981,978.96875,pi,5,4,0.05
128,0.1,0.09963648795394911,0.9963648795394912,0.9952176967883773,0.09966570162670547,0.9966570162670547,976.859375,pi,5,4,0.1
128,0.01,0.009663152728833791,0.966315272883379,0.9345834703703504,0.009656488855738152,0.9656488855738151,974.0859375,pi,87,4,0.01
128,0.05,0.0488807235133669,0.9776144702673377,0.97534775114775,0.048867412627827456,0.9773482525565491,973.296875,pi,87,4,0.05
128,0.1,0.09923111189357296,0.9923111189357297,0.9891747541888763,0.09923700791814448,0.9923700791814447,975.8046875,pi,87,4,0.1
128,0.01,0.010188485155525165,1.0188485155525164,1.0142081718846272,0.010182794753542798,1.0182794753542797,977.4453125,pi,1221,4,0.01
128,0.05,0.04929401736213975,0.985880347242795,0.9855378663889302,0.04929131713257858,0.9858263426515715,975.0703125,pi,1221,4,0.05
128,0.1,0.09955499761766139,0.9955499761766138,0.9956094489168419,0.09954903089618115,0.9954903089618115,977.0625,pi,1221,4,0.1
128,0.01,0.010515946898493715,1.0515946898493713,1.0405827263267429,0.010516106796194323,1.0516106796194322,974.6953125,pi,5669,4,0.01
128,0.05,0.04947658600647037,0.9895317201294074,0.9665474060822898,0.049511431855920295,0.9902286371184058,978.625,pi,5669,4,0.05
128,0.1,0.09961681140829085,0.9961681140829084,0.9913954568994987,0.09966766766766767,0.9966766766766767,975.5859375,pi,5669,4,0.1
128,0.01,0.009382618226222581,0.9382618226222582,0.9095609016336941,0.009380998658709953,0.9380998658709953,972.7109375,random,1,4,0.01
128,0.05,0.04945335643364008,0.9890671286728014,0.9895093366903456,0.049452779878218646,0.9890555975643729,981.5234375,random,1,4,0.05
128,0.1,0.10001740451497368,1.0001740451497367,0.9999609237622601,0.10003839938560984,1.0003839938560983,976.578125,random,1,4,0.1
128,0.01,0.009893078048474148,0.9893078048474147,1.002518608152411,0.009901621569909275,0.9901621569909275,979.953125,random,2,4,0.01
128,0.05,0.04911442673076244,0.9822885346152486,0.9695722021852691,0.04911743357820264,0.9823486715640528,979.4765625,random,2,4,0.05
128,0.1,0.09999419138966872,0.9999419138966871,0.9896917735059767,0.10000478911912136,1.0000478911912136,978.78125,random,2,4,0.1
128,0.01,0.010176271595360756,1.0176271595360755,1.0070585371790193,0.01020603737422137,1.020603737422137,978.28125,random,5,4,0.01
128,0.05,0.05081287038704557,1.0162574077409117,1.0040605541462129,0.05084189109085375,1.0168378218170748,975.296875,random,5,4,0.05
128,0.1,0.10190244652151369,1.0190244652151368,1.024200811638429,0.10191689201081652,1.019168920108165,976.515625,random,5,4,0.1
128,0.01,0.009983860094511765,0.9983860094511766,1.0193690510827547,0.009976779566018095,0.9976779566018095,975.703125,random,87,4,0.01
128,0.05,0.04916254858585254,0.9832509717170507,0.9761172230816431,0.0491222728765894,0.9824454575317879,975.0859375,random,87,4,0.05
128,0.1,0.0994962652443925,0.9949626524439251,0.9870540828665988,0.09950073609422005,0.9950073609422005,976.4375,random,87,4,0.1
128,0.01,0.009835602719430356,0.9835602719430356,0.9264046789078311,0.009835855655416923,0.9835855655416923,976.1796875,random,1221,4,0.01
128,0.05,0.04971544547576712,0.9943089095153422,0.9940575564765629,0.04971632964975314,0.9943265929950627,976.3203125,random,1221,4,0.05
128,0.1,0.10093071706240918,1.0093071706240917,1.0110223852727311,0.10089565642715675,1.0089565642715674,974.3203125,random,1221,4,0.1
128,0.01,0.009897173656962209,0.9897173656962208,1.0005205309415603,0.009916801073122435,0.9916801073122434,978.453125,random,5669,4,0.01
128,0.05,0.05038963019400303,1.0077926038800604,0.9952226085006167,0.05042648870965161,1.0085297741930321,976.359375,random,5669,4,0.05
128,0.1,0.10008255086672929,1.0008255086672928,0.9943701507601084,0.10010642809701761,1.001064280970176,976.3046875,random,5669,4,0.1
128,0.01,0.9995121825159562,99.95121825159563,100.0,0.9995167837123896,99.95167837123896,242.515625,pi,1,5,0.01
128,0.05,1.0,20.0,20.0,1.0,20.0,244.796875,pi,1,5,0.05
128,0.1,1.0,10.0,10.0,1.0,10.0,243.828125,pi,1,5,0.1
128,0.01,0.10058347831214373,10.058347831214373,10.089731208755834,0.10051899258127169,10.051899258127168,245.3671875,pi,2,5,0.01
128,0.05,0.5066835885261725,10.133671770523451,10.13216885007278,0.5063989479423935,10.12797895884787,243.5703125,pi,2,5,0.05
128,0.1,0.9130457279908968,9.130457279908967,9.158622908622908,0.9129619625663351,9.12961962566335,245.8515625,pi,2,5,0.1
